	Das Gilgamesh-epos	Beck
Houellebecq, Michel 	Die Möglichkeit einer Insel 	rororo
Huizing, Klaas	Der Buchtrinker	btb
Hume, David	Eine Untersuchung über den Menschlichen Verstand	Suhrkamp
Hume, David	Eine Untersuchung über den menschlichen Verstand	reclam
Hume, David	Eine Untersuchung über die Prinzipien der Moral	reclam
Huxley, Aldous	Eiland	Piper
Huxley, Aldous	Point Counter Point	Vintage
Huxley, Aldous	Schöne Neue Welt	Büchergilde
Huxley, Aldous	Schöne Neue Welt	Fischer
Huxley, Aldous	The Doors of Perception	Harper
Hölderlin, Friedrich	Gesammelte Werke	Fischer
Hölderlin, Friedrich	Hyperion	Tredition
Ibsen, Henrick	A Doll's House	Digireads
Ibsen, Henrik	Die Wildente	reclam
Ibsen, Henrik	Gespenster	reclam
Ibsen, Henrik	John Gabriel Borkman	reclam
Ibsen, Henrik	Nora	reclam
Ibsen, Henrik	Peer Gynt	reclam
Ibsen, Henrik	Stützen der Gesellschaft	reclam
Ibsen, Henrik	Volksfeind	reclam
Ionesco, Eugene	Die Nashörner	Fischer
Ionesco, Eugene	Die kahle Sängerin	reclam
Jahnn, Hans Henny	Medea	reclam
James, Henry	The Bostonians	Everyman’s Library
Jaspers, Karl	Die maßgebenden Menschen	Piper
Johnson, Uwe	Mutmaßungen über Jakob	Suhrkamp
Joyce, James	Das Porträt des Künstlers als Junger Mann	SZ
Joyce, James	Dubliners	Bantam
Joyce, James	Finnegans Wake	 Penguin
Joyce, James	The Portrait of the Artist as a Young Man	Penguin
Joyce, James	Ulysses	 Everyman’s Library
Joyce, James	Ulysseus	Suhrkamp
Joyce, James	Ulysseus	Wordsworth
Kafka, Franz	Das Schloss	Fischer
Kafka, Franz	Das Urteil	Suhrkamp
Kafka, Franz	Das Urteil und die Verwandlung	Fischer
Kafka, Franz	Der Geier	Büchergilde
Kafka, Franz	Der Prozess	Büchergilde
Kafka, Franz	Der Verschollene	Aufbau
Kafka, Franz	Die Verwandung	Suhrkamp
Kafka,Franz	Der Prozess	Hamburger Lesehefte
Kaminer, Wladimir	Karaoke	Goldmann
Kant, Immanuel	Denken wagen	 Reclam
Kant, Immanuel	Grundlegung zur Metaphysik der Sitten	Suhrkamp
Kant, Immanuel	Kritik der Praktischen Vernunft	Philosophische Bibliothek
Kant, Immanuel	Kritik der Reinen Vernunft I	Suhrkamp
Kant, Immanuel	Kritik der Reinen Vernunft II	Suhrkamp
Kant, Immanuel	Kritik der Urteilskraft	Suhrkamp
Kant, Immanuel	Prolegomena zu einer Jeden Künftigen Metaphysik	Meiner
Kara, Yade	Cafe Cyrus	Diogenes
Kehlmann, Daniel	Die Vermessung der Welt	rororo
Kehlmann, Daniel	Ich und Kaminski	Suhrkamp
Kellner, Manuel	Trotzkismus	Schmetterling
Kerouac, Jack	Unterwegs	rororo
Keuth, Herbert	Poppers Logik der Forschung	Akademie Verlag
Kierkegaard, Sören	Der Krankheit zum Tode	dtv
Kierkegaard, Sören	Entweder - Oder	dtv
Kipling, Rudyard	Das Haus der Wünsche	Büchergilde
Koeppen, Wolfang	Jakob Littners Aufzeichnungen aus einem Erdloch	Buechergilde
Koeppen, Wolfang	Jakob Littners Aufzeihnungen aus einem Erdloch	Juedischer Verlag
Koeppen, Wolfgang	Das Treibhaus	SZ
Kratzmann, Ernst 	Faust	Büchergilde
Kuhn, Thomas	Die Entstehung des Neuen	Suhrkamp
Kuhn, Thomas S.	Die Struktur wissenschaftlicher Revolutionen	Suhrkamp
Kundera, Milan	Der Scherz	Büchergilde
Kundera, Milan	Die unerträgliche Leichtigkeit des Seins	SZ
Kundera, Milan	Die unerträgliche Leichtigkeit des Seins 	Fischer
Lappert, Rolf	Nach Hause Schwimmen	dtv
Lenz, Siegfried	Deutschstunde	SZ
Leopardi, Giacomo	Moral Fables	Alma Classics
Lessing, Gotthold Ephraim	Nathan der Weise	reclam
London, Jack	Call of the Wild, White Fang and Other Stories	Oxford World's Classics
London, Jack	Die Konzentrischen Tode	Büchergilde
London,Jack	Wolfsblut	Arena
